Date,Price,Open,High,Low,Change %
"Dec 04, 2019",4.208,4.2055,4.2104,4.1818,0.0003
"Dec 03, 2019",4.2066,4.2237,4.2245,4.184,-0.004
"Dec 02, 2019",4.2234,4.2365,4.2536,4.207,-0.0031
"Nov 29, 2019",4.2367,4.1895,4.2457,4.1823,0.0111
"Nov 28, 2019",4.1902,4.2642,4.2659,4.1901,-0.0173
"Nov 27, 2019",4.2638,4.2294,4.271,4.2264,0.0072
"Nov 26, 2019",4.2332,4.2271,4.2773,4.2271,0.0015
"Nov 25, 2019",4.2268,4.1989,4.2312,4.1868,0.0072
"Nov 22, 2019",4.1966,4.1943,4.2011,4.1719,0.0008
"Nov 21, 2019",4.1932,4.1951,4.2241,4.1821,-0.0008
"Nov 20, 2019",4.1965,4.1942,4.198,4.1942,0.0005
"Nov 19, 2019",4.1945,4.2055,4.2194,4.1851,-0.0056
"Nov 18, 2019",4.218,4.178,4.2196,4.1692,0.0052
"Nov 15, 2019",4.1962,4.1962,4.1962,4.1962,0.0003
"Nov 14, 2019",4.1951,4.17,4.1989,4.1616,0.0059
"Nov 13, 2019",4.1704,4.1695,4.1901,4.1626,0.0006
"Nov 12, 2019",4.1677,4.1531,4.1878,4.1421,0.0038
"Nov 11, 2019",4.1518,4.1666,4.1712,4.1352,-0.0028
"Nov 08, 2019",4.1635,4.1143,4.1707,4.1079,0.0153
"Nov 07, 2019",4.1007,4.0833,4.1035,4.0413,0.0042
"Nov 06, 2019",4.0836,3.9937,4.0903,3.9747,0.0225
"Nov 05, 2019",3.9937,4.0125,4.0239,3.9827,-0.0055
"Nov 04, 2019",4.0156,3.9886,4.0198,3.9743,0.0063
"Nov 01, 2019",3.9903,4.0179,4.0207,3.9691,-0.007
"Oct 31, 2019",4.0184,3.9932,4.0383,3.9638,0.0069
"Oct 30, 2019",3.9909,4,4.0332,3.9823,-0.0019
"Oct 29, 2019",3.9986,3.9915,4.0052,3.9834,0.0019
"Oct 28, 2019",3.991,4.0027,4.0098,3.9726,-0.0032
"Oct 25, 2019",4.0038,4.0427,4.0427,3.9913,-0.0093
"Oct 24, 2019",4.0415,4.038,4.0465,3.9994,0.0017
"Oct 23, 2019",4.0346,4.0812,4.093,4.0274,-0.0116
"Oct 22, 2019",4.0819,4.1291,4.1312,4.0598,-0.0115
"Oct 21, 2019",4.1293,4.1114,4.1524,4.1114,0.0043
"Oct 18, 2019",4.1117,4.1646,4.1666,4.1098,-0.0126
"Oct 17, 2019",4.1643,4.152,4.1818,4.1269,0.003
"Oct 16, 2019",4.1518,4.1802,4.1879,4.1475,-0.0069
"Oct 15, 2019",4.1807,4.1261,4.1814,4.1209,0.0131
"Oct 14, 2019",4.1265,4.1073,4.1383,4.1073,0.0041
"Oct 11, 2019",4.1097,4.1071,4.1261,4.0803,0
"Oct 10, 2019",4.1095,4.1101,4.1377,4.0891,-0.0002
"Oct 09, 2019",4.1104,4.0965,4.112,4.0705,0.0037
"Oct 08, 2019",4.0954,4.1074,4.1137,4.0739,-0.0028
"Oct 07, 2019",4.1071,4.0563,4.1095,4.056,0.0127
"Oct 04, 2019",4.0556,4.0845,4.0856,4.0496,-0.007
"Oct 03, 2019",4.0841,4.1296,4.1306,4.0743,-0.0109
"Oct 02, 2019",4.1293,4.158,4.1821,4.127,-0.0071
"Oct 01, 2019",4.159,4.1575,4.1863,4.1524,0.0008
"Sep 30, 2019",4.1556,4.1618,4.172,4.1411,-0.0011
"Sep 27, 2019",4.1602,4.1706,4.1712,4.1437,-0.0026
"Sep 26, 2019",4.1711,4.1475,4.1733,4.1208,0.0053
"Sep 25, 2019",4.149,4.1649,4.1955,4.1448,-0.0038
"Sep 24, 2019",4.165,4.1643,4.1842,4.1531,0.0003
"Sep 23, 2019",4.1638,4.1495,4.1849,4.1447,0.0038
"Sep 20, 2019",4.148,4.1678,4.1841,4.146,-0.0048
"Sep 19, 2019",4.1678,4.1109,4.1688,4.1076,0.0138
"Sep 18, 2019",4.1112,4.0779,4.1147,4.0726,0.0082
